Unique ID,Link,Size (bytes),Category,organization
1,"https://en.wikipedia.org/wiki/""Omaha""_the_Cat_Dancer",138528,"G, B","[0, 2, 3, 0, 0]"
2,https://en.wikipedia.org/wiki/115th_United_States_Congress,697635,"G, B","[0, 2, 3, 0, 0]"
3,https://en.wikipedia.org/wiki/1946,624601,"G, B","[0, 2, 3, 0, 0]"
4,https://en.wikipedia.org/wiki/1971_in_the_United_Kingdom,222190,"G, B","[0, 2, 3, 0, 0]"
5,https://en.wikipedia.org/wiki/1976_in_music,374115,"G, B","[0, 2, 3, 0, 0]"
6,https://en.wikipedia.org/wiki/2010s_in_Syria_political_history,773571,"G, B","[0, 2, 3, 0, 0]"
7,https://en.wikipedia.org/wiki/2012_in_Hungary,235733,"G, B","[0, 2, 3, 0, 0]"
8,https://en.wikipedia.org/wiki/2013_Latakia_offensive,397167,"G, B","[0, 2, 3, 0, 0]"
9,https://en.wikipedia.org/wiki/2013_National_Scout_Jamboree,156630,"G, B","[0, 2, 3, 0, 0]"
10,https://en.wikipedia.org/wiki/2014_American_rescue_mission_in_Syria,368233,"G, B","[0, 2, 3, 0, 0]"
11,https://en.wikipedia.org/wiki/2015_Beirut_bombings,292197,"G, B","[0, 2, 3, 0, 0]"
12,https://en.wikipedia.org/wiki/2015_Homs_car_bombing,312348,"G, B","[0, 2, 3, 0, 0]"
13,https://en.wikipedia.org/wiki/2015_San_Bernardino_attack,867190,"G, B","[0, 2, 3, 0, 0]"
14,https://en.wikipedia.org/wiki/2016_Atatürk_Airport_attack,336962,"G, B","[0, 2, 3, 0, 0]"
15,https://en.wikipedia.org/wiki/2016_Brussels_bombings,438024,"G, B","[0, 2, 3, 0, 0]"
16,https://en.wikipedia.org/wiki/2016_Dabiq_offensive,433926,"G, B","[0, 2, 3, 0, 0]"
17,https://en.wikipedia.org/wiki/2016_Khanasir_offensive,422569,"G, B","[0, 2, 3, 0, 0]"
18,https://en.wikipedia.org/wiki/2016_Sayyidah_Zaynab_attacks,265679,"G, B","[0, 2, 3, 0, 0]"
19,https://en.wikipedia.org/wiki/2017_Mayadin_offensive,351975,"G, B","[0, 2, 3, 0, 0]"
20,https://en.wikipedia.org/wiki/2017_Tehran_attacks,465721,"G, B","[0, 2, 3, 0, 0]"
21,https://en.wikipedia.org/wiki/2018_As-Suwayda_attacks,362321,"G, B","[0, 2, 3, 0, 0]"
22,https://en.wikipedia.org/wiki/2018_Southern_Syria_offensive,687189,"G, B","[0, 2, 3, 0, 0]"
23,https://en.wikipedia.org/wiki/2019_Sri_Lanka_Easter_bombings,934416,"G, B","[0, 2, 3, 0, 0]"
